"source_key","osm_type","osm_id","scope","categories","source_version","derived_world_status","derived_object_key","part_keys","chunk_ids","representation_kind","dimension_rule","height_m","composite_key","note","vertex_count","triangle_count","collision_triangle_count","validation"
"w109025893","way","109025893","playable","terrain_shoreline","2","represented","terrain:w109025893","terrain:w109025893:x_-1__z_-3","x_-1__z_-3","direct","","","","","16","8","0","pass"
"w109042224","way","109042224","playable","terrain_shoreline","2","represented","terrain:w109042224","terrain:w109042224:x_-2__z_-3","x_-2__z_-3","direct","","","","","8","4","0","pass"
"w110183752","way","110183752","playable","major_area;terrain_shoreline","10","represented","terrain:w110183752","terrain:w110183752:x_1__z_2;terrain:w110183752:x_2__z_1;terrain:w110183752:x_2__z_2","x_1__z_2;x_2__z_1;x_2__z_2","direct","","","","","162","81","0","pass"
"w319406837","way","319406837","playable","major_area;terrain_shoreline","5","composite_member","boundary_context:w319406837","boundary_context:w319406837","","composite","","","boundary_context:w319406837","Exact-touch-only source polygon rendered as explicit non-colliding boundary-attached visual context","7","5","0","pass"
"w644986117","way","644986117","playable","major_area;terrain_shoreline","4","composite_member","boundary_context:w644986117","boundary_context:w644986117","","composite","","","boundary_context:w644986117","Exact-touch-only source polygon rendered as explicit non-colliding boundary-attached visual context","13","11","0","pass"
"w1011830367","way","1011830367","playable","terrain_shoreline","2","represented","terrain:w1011830367","terrain:w1011830367:x_-1__z_3","x_-1__z_3","direct","","","","","5","3","0","pass"
"w1222505174","way","1222505174","playable","terrain_shoreline","2","represented","terrain:w1222505174","terrain:w1222505174:x_0__z_2","x_0__z_2","direct","","","","","19","9","0","pass"
"w1222505175","way","1222505175","playable","terrain_shoreline","2","represented","terrain:w1222505175","terrain:w1222505175:x_1__z_2","x_1__z_2","direct","","","","","32","14","0","pass"
"w1222505176","way","1222505176","playable","terrain_shoreline","1","represented","terrain:w1222505176","terrain:w1222505176:x_1__z_2","x_1__z_2","direct","","","","","15","7","0","pass"
"w1222505177","way","1222505177","playable","major_area;terrain_shoreline","2","represented","terrain:w1222505177","terrain:w1222505177:x_2__z_2","x_2__z_2","direct","","","","","27","12","0","pass"
"w1222684023","way","1222684023","playable","terrain_shoreline","1","represented","terrain:w1222684023","terrain:w1222684023:x_0__z_2;terrain:w1222684023:x_1__z_2","x_0__z_2;x_1__z_2","direct","","","","","107","52","0","pass"
"w1222684024","way","1222684024","playable","terrain_shoreline","1","represented","terrain:w1222684024","terrain:w1222684024:x_1__z_2","x_1__z_2","direct","","","","","32","18","0","pass"
"w1222684025","way","1222684025","playable","terrain_shoreline","1","represented","terrain:w1222684025","terrain:w1222684025:x_1__z_2;terrain:w1222684025:x_2__z_2","x_1__z_2;x_2__z_2","direct","","","","","76","45","0","pass"
"w1222684026","way","1222684026","playable","terrain_shoreline","1","represented","terrain:w1222684026","terrain:w1222684026:x_2__z_1;terrain:w1222684026:x_2__z_2","x_2__z_1;x_2__z_2","direct","","","","","114","60","0","pass"
"w1222684027","way","1222684027","playable","terrain_shoreline","1","represented","terrain:w1222684027","terrain:w1222684027:x_-1__z_-4;terrain:w1222684027:x_0__z_-3;terrain:w1222684027:x_0__z_-4;terrain:w1222684027:x_1__z_-1;terrain:w1222684027:x_1__z_-2;terrain:w1222684027:x_1__z_-3;terrain:w1222684027:x_2__z_-1;terrain:w1222684027:x_2__z_0;terrain:w1222684027:x_2__z_1","x_-1__z_-4;x_0__z_-4;x_0__z_-3;x_1__z_-3;x_1__z_-2;x_1__z_-1;x_2__z_-1;x_2__z_0;x_2__z_1","direct","","","","","829","402","0","pass"
"w1222685424","way","1222685424","playable","terrain_shoreline","3","represented","terrain:w1222685424","terrain:w1222685424:x_-1__z_2;terrain:w1222685424:x_-1__z_3;terrain:w1222685424:x_-2__z_-4;terrain:w1222685424:x_-2__z_0;terrain:w1222685424:x_-2__z_1;terrain:w1222685424:x_-2__z_2;terrain:w1222685424:x_-3__z_-1;terrain:w1222685424:x_-3__z_-2;terrain:w1222685424:x_-3__z_-3;terrain:w1222685424:x_-3__z_-4;terrain:w1222685424:x_-3__z_0","x_-3__z_-4;x_-3__z_-3;x_-3__z_-2;x_-3__z_-1;x_-3__z_0;x_-2__z_-4;x_-2__z_0;x_-2__z_1;x_-2__z_2;x_-1__z_2;x_-1__z_3","direct","","","","","1012","504","0","pass"
"w1473022589","way","1473022589","playable","terrain_shoreline","1","represented","terrain:w1473022589","terrain:w1473022589:x_-2__z_0;terrain:w1473022589:x_-2__z_1","x_-2__z_0;x_-2__z_1","direct","","","","","145","75","0","pass"
"w8916045","way","8916045","playable","roads_paths","5","represented","road:w8916045","roads:x_-2__z_-2","x_-2__z_-2","direct","","","","","1102","834","0","pass"
"w8916310","way","8916310","playable","roads_paths","5","represented","road:w8916310","roads:x_1__z_-1","x_1__z_-1","direct","","","","","377","219","0","pass"
"w8916349","way","8916349","playable","roads_paths","9","represented","road:w8916349","roads:x_-2__z_-1","x_-2__z_-1","direct","","","","","1624","1276","0","pass"
"w8916716","way","8916716","playable","roads_paths","4","represented","road:w8916716","roads:x_-2__z_-3","x_-2__z_-3","direct","","","","","1060","850","0","pass"
"w8916719","way","8916719","playable","roads_paths","3","represented","road:w8916719","roads:x_-1__z_-3","x_-1__z_-3","direct","","","","","847","633","0","pass"
"w8916722","way","8916722","playable","roads_paths","4","represented","road:w8916722","roads:x_-1__z_-3","x_-1__z_-3","direct","","","","","847","633","0","pass"
"w8916727","way","8916727","playable","roads_paths","5","represented","road:w8916727","roads:x_-2__z_-3;roads:x_-3__z_-3","x_-3__z_-3;x_-2__z_-3","direct","","","","","1519","1199","0","pass"
"w8916874","way","8916874","playable","roads_paths","9","represented","road:w8916874","roads:x_-2__z_-2","x_-2__z_-2","direct","","","","","1102","834","0","pass"
"w8917169","way","8917169","playable","roads_paths","11","represented","road:w8917169","roads:x_-2__z_-3;roads:x_-2__z_-4;roads:x_-3__z_-3","x_-3__z_-3;x_-2__z_-4;x_-2__z_-3","direct","","","","","1801","1395","0","pass"
"w8917439","way","8917439","playable","roads_paths","6","represented","road:w8917439","roads:x_-2__z_-1;roads:x_-2__z_-2","x_-2__z_-2;x_-2__z_-1","direct","","","","","2726","2110","0","pass"
"w8917767","way","8917767","playable","roads_paths","7","represented","road:w8917767","roads:x_-1__z_-3","x_-1__z_-3","direct","","","","","847","633","0","pass"
"w8917790","way","8917790","playable","roads_paths","8","represented","road:w8917790","roads:x_-1__z_-1;roads:x_-1__z_-2;roads:x_0__z_-2","x_-1__z_-2;x_-1__z_-1;x_0__z_-2","direct","","","","","2301","1603","0","pass"
"w8917792","way","8917792","playable","roads_paths","12","represented","road:w8917792","roads:x_-1__z_0;roads:x_0__z_0","x_-1__z_0;x_0__z_0","direct","","","","","1739","1205","0","pass"
"w8918733","way","8918733","playable","roads_paths","10","represented","road:w8918733","roads:x_-2__z_-1;roads:x_-2__z_-2;roads:x_-3__z_-2","x_-3__z_-2;x_-2__z_-2;x_-2__z_-1","direct","","","","","3537","2727","0","pass"
"w8919063","way","8919063","playable","roads_paths","9","represented","road:w8919063","roads:x_-1__z_-3;roads:x_-2__z_-3","x_-2__z_-3;x_-1__z_-3","direct","","","","","1907","1483","0","pass"
"w8919233","way","8919233","playable","roads_paths","8","represented","road:w8919233","roads:x_-2__z_-2;roads:x_-3__z_-2","x_-3__z_-2;x_-2__z_-2","direct","","","","","1913","1451","0","pass"
"w8919277","way","8919277","playable","roads_paths","12","represented","road:w8919277","roads:x_-2__z_0","x_-2__z_0","direct","","","","","1373","1097","0","pass"
"w8919778","way","8919778","playable","roads_paths","6","represented","road:w8919778","roads:x_-3__z_-2","x_-3__z_-2","direct","","","","","811","617","0","pass"
"w8919923","way","8919923","playable","roads_paths","4","represented","road:w8919923","roads:x_-2__z_-3","x_-2__z_-3","direct","","","","","1060","850","0","pass"
"w8920145","way","8920145","playable","roads_paths","10","represented","road:w8920145","roads:x_1__z_0;roads:x_2__z_0","x_1__z_0;x_2__z_0","direct","","","","","643","397","0","pass"
"w8920409","way","8920409","playable","roads_paths","13","represented","road:w8920409","roads:x_-3__z_-1","x_-3__z_-1","direct","","","","","524","366","0","pass"
"w8920838","way","8920838","playable","roads_paths","17","represented","road:w8920838","roads:x_-1__z_-3;roads:x_-1__z_-4;roads:x_-2__z_-3;roads:x_-2__z_-4","x_-2__z_-4;x_-2__z_-3;x_-1__z_-4;x_-1__z_-3","direct","","","","","2773","2111","0","pass"
"w8921121","way","8921121","playable","roads_paths","8","represented","road:w8921121","roads:x_-2__z_-1;roads:x_-2__z_-2","x_-2__z_-2;x_-2__z_-1","direct","","","","","2726","2110","0","pass"
"w8921138","way","8921138","playable","roads_paths","5","represented","road:w8921138","roads:x_0__z_-1;roads:x_1__z_-1","x_0__z_-1;x_1__z_-1","direct","","","","","1072","704","0","pass"
"w8921139","way","8921139","playable","roads_paths","4","represented","road:w8921139","roads:x_1__z_-1;roads:x_1__z_-2","x_1__z_-2;x_1__z_-1","direct","","","","","632","364","0","pass"
"w8921273","way","8921273","playable","roads_paths","20","represented","road:w8921273","roads:x_-2__z_-1;roads:x_-2__z_-2;roads:x_-2__z_0;roads:x_-3__z_-2","x_-3__z_-2;x_-2__z_-2;x_-2__z_-1;x_-2__z_0","direct","","","","","4910","3824","0","pass"
"w8921288","way","8921288","playable","roads_paths","11","represented","road:w8921288","roads:x_-1__z_0;roads:x_0__z_0;roads:x_0__z_1","x_-1__z_0;x_0__z_0;x_0__z_1","direct","","","","","2452","1750","0","pass"
"w8921299","way","8921299","playable","roads_paths","12","represented","road:w8921299","roads:x_-1__z_-1;roads:x_-1__z_-2","x_-1__z_-2;x_-1__z_-1","direct","","","","","1700","1186","0","pass"
"w8921331","way","8921331","playable","roads_paths","16","represented","road:w8921331","roads:x_-1__z_-2;roads:x_0__z_-1;roads:x_0__z_-2","x_-1__z_-2;x_0__z_-2;x_0__z_-1","direct","","","","","1844","1278","0","pass"
"w8921338","way","8921338","playable","roads_paths","8","represented","road:w8921338","roads:x_-1__z_-3;roads:x_0__z_-1;roads:x_0__z_-2;roads:x_0__z_-3","x_-1__z_-3;x_0__z_-3;x_0__z_-2;x_0__z_-1","direct","","","","","2508","1766","0","pass"
"w8921339","way","8921339","playable","roads_paths","6","represented","road:w8921339","roads:x_0__z_-1;roads:x_1__z_-1","x_0__z_-1;x_1__z_-1","direct","","","","","1072","704","0","pass"
"w8921372","way","8921372","playable","roads_paths","19","represented","road:w8921372","roads:x_1__z_-1;roads:x_1__z_-2;roads:x_1__z_0","x_1__z_-2;x_1__z_-1;x_1__z_0","direct","","","","","1024","616","0","pass"
"w8921530","way","8921530","playable","roads_paths","15","represented","road:w8921530","roads:x_1__z_-1;roads:x_1__z_-2;roads:x_2__z_-1;roads:x_2__z_0;roads:x_2__z_1","x_1__z_-2;x_1__z_-1;x_2__z_-1;x_2__z_0;x_2__z_1","direct","","","","","1174","664","0","pass"
"w8921589","way","8921589","playable","roads_paths","4","represented","road:w8921589","roads:x_-3__z_-2;roads:x_-3__z_-3","x_-3__z_-3;x_-3__z_-2","direct","","","","","1270","966","0","pass"
"w8922388","way","8922388","playable","roads_paths","26","represented","road:w8922388","roads:x_-2__z_-1;roads:x_-2__z_0;roads:x_-3__z_-1;roads:x_-3__z_-2","x_-3__z_-2;x_-3__z_-1;x_-2__z_-1;x_-2__z_0","direct","","","","","4332","3356","0","pass"
"w11315153","way","11315153","playable","roads_paths","2","represented","road:w11315153","roads:x_2__z_0","x_2__z_0","direct","","","","","251","145","0","pass"
"w11315404","way","11315404","playable","roads_paths","6","represented","road:w11315404","roads:x_-2__z_-1","x_-2__z_-1","direct","","","","","1624","1276","0","pass"
"w11315406","way","11315406","playable","roads_paths","8","represented","road:w11315406","roads:x_-1__z_-1;roads:x_-2__z_-1;roads:x_-2__z_0","x_-2__z_-1;x_-2__z_0;x_-1__z_-1","direct","","","","","4149","3183","0","pass"
"w11315798","way","11315798","playable","roads_paths","4","represented","road:w11315798","roads-pedestrian:x_-2__z_-3;roads-pedestrian:x_-3__z_-3;roads:x_-2__z_-3;roads:x_-3__z_-3","x_-3__z_-3;x_-2__z_-3","direct","","","","","2011","1593","0","pass"
"w11315799","way","11315799","playable","roads_paths","5","represented","road:w11315799","roads:x_-2__z_-2;roads:x_-3__z_-2","x_-3__z_-2;x_-2__z_-2","direct","","","","","1913","1451","0","pass"
"w11315800","way","11315800","playable","roads_paths","10","represented","road:w11315800","roads:x_-1__z_-2;roads:x_-1__z_-3;roads:x_-2__z_-2;roads:x_0__z_-3","x_-2__z_-2;x_-1__z_-3;x_-1__z_-2;x_0__z_-3","direct","","","","","2862","2074","0","pass"
"w11315848","way","11315848","playable","roads_paths","5","represented","road:w11315848","roads:x_-1__z_-3;roads:x_0__z_-3","x_-1__z_-3;x_0__z_-3","direct","","","","","1212","864","0","pass"
"w11315850","way","11315850","playable","roads_paths","9","represented","road:w11315850","roads:x_-1__z_-3;roads:x_-1__z_-4","x_-1__z_-4;x_-1__z_-3","direct","","","","","1431","1065","0","pass"
"w28353118","way","28353118","playable","roads_paths","24","represented","road:w28353118","roads:x_-1__z_3","x_-1__z_3","direct","","","","","988","780","0","pass"
"w28353157","way","28353157","playable","roads_paths","5","represented","road:w28353157","roads-pedestrian:x_0__z_3;roads:x_0__z_3","x_0__z_3","direct","","","","","535","379","0","pass"
"w28353163","way","28353163","playable","roads_paths","4","represented","road:w28353163","roads-pedestrian:x_0__z_3;roads:x_0__z_3","x_0__z_3","direct","","","","","535","379","0","pass"
"w28353434","way","28353434","playable","roads_paths","13","represented","road:w28353434","roads:x_-2__z_-1","x_-2__z_-1","direct","","","","","1624","1276","0","pass"
"w28356848","way","28356848","playable","roads_paths","11","represented","road:w28356848","roads:x_-2__z_0","x_-2__z_0","direct","","","","","1373","1097","0","pass"
"w28356864","way","28356864","playable","roads_paths","3","represented","road:w28356864","roads:x_-2__z_0","x_-2__z_0","direct","","","","","1373","1097","0","pass"
"w28356898","way","28356898","playable","roads_paths","6","represented","road:w28356898","roads:x_-1__z_1;roads:x_0__z_1","x_-1__z_1;x_0__z_1","direct","","","","","2162","1583","0","pass"
"w28356904","way","28356904","playable","roads_paths","2","represented","road:w28356904","roads:x_-1__z_1","x_-1__z_1","direct","","","","","1449","1038","0","pass"
"w43102143","way","43102143","playable","roads_paths","2","represented","road:w43102143","roads:x_-1__z_2;roads:x_-1__z_3","x_-1__z_2;x_-1__z_3","direct","","","","","2333","1790","0","pass"
"w43102144","way","43102144","playable","roads_paths","2","represented","road:w43102144","roads:x_-1__z_2;roads:x_-1__z_3","x_-1__z_2;x_-1__z_3","direct","","","","","2333","1790","0","pass"
"w43102145","way","43102145","playable","roads_paths","4","represented","road:w43102145","roads:x_-1__z_2","x_-1__z_2","direct","","","","","1345","1010","0","pass"
"w52721873","way","52721873","playable","roads_paths","17","represented","road:w52721873","roads:x_-1__z_1;roads:x_0__z_1","x_-1__z_1;x_0__z_1","direct","","","","","2162","1583","0","pass"
"w52721875","way","52721875","playable","roads_paths","12","represented","road:w52721875","roads:x_-1__z_-2;roads:x_-1__z_-3;roads:x_-2__z_-3;roads:x_-3__z_-2;roads:x_-3__z_-3","x_-3__z_-3;x_-3__z_-2;x_-2__z_-3;x_-1__z_-3;x_-1__z_-2","direct","","","","","3725","2825","0","pass"
"w95934094","way","95934094","playable","roads_paths","1","represented","road:w95934094","roads-pedestrian:x_-2__z_-1;roads:x_-2__z_-1","x_-2__z_-1","direct","","","","","2665","2137","0","pass"
"w95934111","way","95934111","playable","roads_paths","2","represented","road:w95934111","roads-pedestrian:x_-2__z_0;roads:x_-2__z_0","x_-2__z_0","direct","","","","","2432","1948","0","pass"
"w108982423","way","108982423","playable","roads_paths","3","represented","road:w108982423","roads:x_-3__z_-2","x_-3__z_-2","direct","","","","","811","617","0","pass"
"w109022534","way","109022534","playable","roads_paths","2","represented","road:w109022534","roads:x_0__z_1;roads:x_0__z_2","x_0__z_1;x_0__z_2","direct","","","","","1519","1169","0","pass"
"w109022546","way","109022546","playable","roads_paths","2","represented","road:w109022546","roads:x_0__z_-3","x_0__z_-3","direct","","","","","365","231","0","pass"
"w109023441","way","109023441","playable","roads_paths","11","represented","road:w109023441","roads-pedestrian:x_-1__z_-4;roads-pedestrian:x_-2__z_-4;roads-pedestrian:x_-2__z_0;roads-pedestrian:x_-3__z_-1;roads-pedestrian:x_-3__z_-2;roads-pedestrian:x_-3__z_-3;roads-pedestrian:x_-3__z_-4;roads-pedestrian:x_-3__z_0;roads:x_-1__z_-4;roads:x_-2__z_-4;roads:x_-2__z_0;roads:x_-3__z_-1;roads:x_-3__z_-2;roads:x_-3__z_-3;roads:x_-3__z_-4;roads:x_-3__z_0","x_-3__z_-4;x_-3__z_-3;x_-3__z_-2;x_-3__z_-1;x_-3__z_0;x_-2__z_-4;x_-2__z_0;x_-1__z_-4","direct","","","","","6509","4895","0","pass"
"w110188515","way","110188515","playable","roads_paths","2","represented","road:w110188515","roads:x_0__z_-1","x_0__z_-1","direct","","","","","695","485","0","pass"
"w131820353","way","131820353","playable","roads_paths","14","represented","road:w131820353","roads:x_-1__z_3;roads:x_0__z_2;roads:x_0__z_3","x_-1__z_3;x_0__z_2;x_0__z_3","direct","","","","","2096","1613","0","pass"
"w131937148","way","131937148","playable","roads_paths","12","represented","road:w131937148","roads:x_1__z_2","x_1__z_2","direct","","","","","360","248","0","pass"
"w198399306","way","198399306","playable","roads_paths","3","represented","road:w198399306","roads:x_-1__z_0;roads:x_-1__z_1","x_-1__z_0;x_-1__z_1","direct","","","","","2711","1924","0","pass"
"w215879079","way","215879079","playable","roads_paths","1","represented","road:w215879079","roads:x_0__z_0","x_0__z_0","direct","","","","","477","319","0","pass"
"w215879087","way","215879087","playable","roads_paths","6","represented","road:w215879087","roads:x_1__z_0","x_1__z_0","direct","","","","","392","252","0","pass"
"w255330034","way","255330034","playable","roads_paths","7","represented","road:w255330034","roads:x_0__z_-1;roads:x_0__z_0;roads:x_1__z_0","x_0__z_-1;x_0__z_0;x_1__z_0","direct","","","","","1564","1056","0","pass"
"w255330044","way","255330044","playable","roads_paths","13","represented","road:w255330044","roads:x_-1__z_2","x_-1__z_2","direct","","","","","1345","1010","0","pass"
"w255330071","way","255330071","playable","roads_paths","3","represented","road:w255330071","roads:x_0__z_-1;roads:x_0__z_-2;roads:x_1__z_-1;roads:x_1__z_-2","x_0__z_-2;x_0__z_-1;x_1__z_-2;x_1__z_-1","direct","","","","","1928","1266","0","pass"
"w255330072","way","255330072","playable","roads_paths","8","represented","road:w255330072","roads:x_-1__z_-1;roads:x_-1__z_0;roads:x_-2__z_0;roads:x_0__z_-1","x_-2__z_0;x_-1__z_-1;x_-1__z_0;x_0__z_-1","direct","","","","","4482","3278","0","pass"
"w466953902","way","466953902","playable","roads_paths","5","represented","road:w466953902","roads:x_0__z_-2;roads:x_1__z_-2","x_0__z_-2;x_1__z_-2","direct","","","","","856","562","0","pass"
"w484287675","way","484287675","playable","roads_paths","4","represented","road:w484287675","roads:x_1__z_2","x_1__z_2","direct","","","","","360","248","0","pass"
"w484287680","way","484287680","playable","roads_paths","7","represented","road:w484287680","roads:x_1__z_2;roads:x_2__z_1;roads:x_2__z_2","x_1__z_2;x_2__z_1;x_2__z_2","direct","","","","","577","371","0","pass"
"w484288320","way","484288320","playable","roads_paths","3","represented","road:w484288320","roads:x_0__z_-3","x_0__z_-3","direct","","","","","365","231","0","pass"
"w484288324","way","484288324","playable","roads_paths","4","represented","road:w484288324","roads:x_0__z_-2","x_0__z_-2","direct","","","","","601","417","0","pass"
"w484288325","way","484288325","playable","roads_paths","5","represented","road:w484288325","roads:x_0__z_-2","x_0__z_-2","direct","","","","","601","417","0","pass"
"w484288326","way","484288326","playable","roads_paths","3","represented","road:w484288326","roads:x_0__z_-2","x_0__z_-2","direct","","","","","601","417","0","pass"
"w484288328","way","484288328","playable","roads_paths","4","represented","road:w484288328","roads:x_0__z_-2","x_0__z_-2","direct","","","","","601","417","0","pass"
"w484288330","way","484288330","playable","roads_paths","2","represented","road:w484288330","roads:x_-1__z_-1;roads:x_-1__z_0;roads:x_-1__z_1","x_-1__z_-1;x_-1__z_0;x_-1__z_1","direct","","","","","3863","2734","0","pass"
"w484288331","way","484288331","playable","roads_paths","3","represented","road:w484288331","roads:x_-1__z_0;roads:x_-1__z_1","x_-1__z_0;x_-1__z_1","direct","","","","","2711","1924","0","pass"
"w484288332","way","484288332","playable","roads_paths","3","represented","road:w484288332","roads:x_-1__z_0","x_-1__z_0","direct","","","","","1262","886","0","pass"
"w484288333","way","484288333","playable","roads_paths","3","represented","road:w484288333","roads:x_-1__z_0","x_-1__z_0","direct","","","","","1262","886","0","pass"
"w484288334","way","484288334","playable","roads_paths","2","represented","road:w484288334","roads:x_-1__z_0","x_-1__z_0","direct","","","","","1262","886","0","pass"
"w484288335","way","484288335","playable","roads_paths","3","represented","road:w484288335","roads:x_-1__z_0","x_-1__z_0","direct","","","","","1262","886","0","pass"
"w484288336","way","484288336","playable","roads_paths","3","represented","road:w484288336","roads:x_-1__z_0","x_-1__z_0","direct","","","","","1262","886","0","pass"
"w484288338","way","484288338","playable","roads_paths","3","represented","road:w484288338","roads:x_-1__z_1;roads:x_0__z_1","x_-1__z_1;x_0__z_1","direct","","","","","2162","1583","0","pass"
"w484288342","way","484288342","playable","roads_paths","6","represented","road:w484288342","roads:x_-1__z_1;roads:x_0__z_1","x_-1__z_1;x_0__z_1","direct","","","","","2162","1583","0","pass"
"w484288343","way","484288343","playable","roads_paths","5","represented","road:w484288343","roads:x_-1__z_1;roads:x_0__z_1","x_-1__z_1;x_0__z_1","direct","","","","","2162","1583","0","pass"
"w484288344","way","484288344","playable","roads_paths","2","represented","road:w484288344","roads:x_0__z_1","x_0__z_1","direct","","","","","713","545","0","pass"
"w499105889","way","499105889","playable","roads_paths","2","represented","road:w499105889","roads:x_-3__z_-3","x_-3__z_-3","direct","","","","","459","349","0","pass"
