path	sha256	bytes
chunks/x_1__z_-1.json	a952756b1c6d8d547669dffb89723c2be81d6c9a4b3afd2ae7f2dc3702a82b0d	199328
chunks/x_1__z_-2.json	432cac0daf8d91ec5c642e040fac0a1f3f65053daca722a07fa0062744d18828	479124
chunks/x_1__z_-3.json	c7413816a37f78f146cd9ac7c3b5aa0e24e59718342a78c98b85fda74531cd0a	43919
chunks/x_1__z_0.json	a952e4b16557561f6d8655e20d2c3d02041f859110f1c37d4693acc9952d59f3	119327
chunks/x_1__z_1.json	784d89c2ac1392f5ff329b8c6c437ad9050363e9f00b4f993dd9d378851f1758	125231
chunks/x_1__z_2.json	0f1bde8bde1f436e060699852dc4651454f793097b3970712de6fed2180f3b42	180246
chunks/x_2__z_-1.json	f4f429d2832f36e43af2c3d612ffa131532b162dd63318bfd6f543f2810a1a64	72444
chunks/x_2__z_0.json	759351dd4738afa37068dc14ea312a201251be566092c0cc5bab531c949a567d	120345
chunks/x_2__z_1.json	3d32a78267ae574cc6353e20122791269beb5bddbc13b2ae16afd22cc72a80b9	105136
chunks/x_2__z_2.json	f6fd17666df382f89b51dff1b5a3b906e1c17fdc36d4af3e1aa4ecf4aad817a5	31489
context.json	4008473d014530211eba8e77e5b6f3ebe977c283a4750bacb57d6739b239a037	675130
coverage-ledger.csv	3b4652e0f333d89c5994dd644873b75dd05c1068334f87235cd958177658bb2a	156280
coverage-summary.json	9bd70dce7cbe0080ebebe15cd9d30a98f4396727260d92adf6ed3d96bc2a68a6	81538
logical-objects.json	5a74a80a7930ef8edfbea4f7c3a15a509d38e59b64e55d17a26ea1061137ba11	1285299
qa/pavement-skin.json	60c143462e20c6ca28ed5f096dd88997b5f8dc313c55e123f56edbfdad6b077d	23820
qa/validation-report.json	afe1d34d0c743c9a16f058b8613f4276bd44ee7bddc3cd062657dfe65304e7a9	3142
terrain.json	f2399e68640e92003d40f26362515902bada52838545b9b40271ffe21774d167	4599
vegetation.json	e843ac78c4f5ba769241f330f83b41fd8431fbe06073c9ffd4907c413baad32f	89950
pck_sha256	f5a95cc910aeb0a3ed01a98beeaaa3e39126ae590b2ad75ded4d7869eaf30668	55816132
pck_directory_entries	574
generated_world_files	47
manifest_sha256	e501236d0908a1a1fd41b3973e7adbd3e94d32bb658cc3f1e44f7731f00a1fb3	27087
content_sha256	01af105e30acd8fbddbb69ace1bffdefdf1174dd1f7ee8e66b1fc8808eee7164	46 descriptors
result	PASS
