"source_key","osm_type","osm_id","source_version","source_timestamp","scope","categories","source_geometry_types","selected_geometry_family","name","primary_tag","height","building_levels","derived_world_status","derived_object_key","notes","tags_json"
"w109025893","way","109025893","2","2024-05-17T01:31:50Z","playable","terrain_shoreline","LineString|MultiPolygon","area","","natural=sand","","","not_started","","","{""natural"":""sand""}"
"w109042224","way","109042224","2","2024-05-17T01:31:50Z","playable","terrain_shoreline","LineString|MultiPolygon","area","","natural=sand","","","not_started","","","{""natural"":""sand""}"
"w110183752","way","110183752","10","2026-05-11T11:22:38Z","playable","terrain_shoreline|major_area","LineString|MultiPolygon","area","Treasure Island Sailing Center","leisure=marina","","","not_started","","","{""access"":""private"",""leisure"":""marina"",""name"":""Treasure Island Sailing Center"",""seamark:harbour:category"":""marina"",""seamark:type"":""harbour"",""website"":""https://www.tisailing.org/""}"
"w319406837","way","319406837","5","2025-06-13T16:24:47Z","playable","terrain_shoreline|major_area","MultiPolygon","area","","man_made=pier","","","not_started","","","{""area"":""yes"",""industrial"":""port"",""landuse"":""industrial"",""man_made"":""pier"",""ref"":""1"",""source"":""Bing""}"
"w644986117","way","644986117","4","2023-11-11T07:31:19Z","playable","terrain_shoreline|major_area","LineString|MultiPolygon","area","Treasure Island Yacht Harbor","leisure=marina","","","not_started","","","{""access"":""private"",""leisure"":""marina"",""name"":""Treasure Island Yacht Harbor"",""operator"":""Almar Marinas"",""seamark:harbour:category"":""marina"",""seamark:type"":""harbour"",""website"":""https://treasureislandyachtharbor.com/""}"
"w1011830367","way","1011830367","2","2022-03-03T11:16:43Z","playable","terrain_shoreline","MultiPolygon","area","","man_made=pier","","","not_started","","","{""area"":""yes"",""man_made"":""pier""}"
"w1222505174","way","1222505174","2","2023-11-11T07:31:19Z","playable","terrain_shoreline","MultiPolygon","area","","man_made=pier","","","not_started","","","{""area"":""yes"",""man_made"":""pier"",""surface"":""concrete""}"
"w1222505175","way","1222505175","2","2023-11-11T07:31:19Z","playable","terrain_shoreline","MultiPolygon","area","","man_made=pier","","","not_started","","","{""area"":""yes"",""man_made"":""pier"",""surface"":""concrete""}"
"w1222505176","way","1222505176","1","2023-11-10T13:40:15Z","playable","terrain_shoreline","MultiPolygon","area","","man_made=pier","","","not_started","","","{""area"":""yes"",""man_made"":""pier"",""surface"":""concrete""}"
"w1222505177","way","1222505177","2","2023-11-11T07:31:19Z","playable","terrain_shoreline|major_area","MultiPolygon","area","","man_made=pier","","","not_started","","","{""area"":""yes"",""landuse"":""recreation_ground"",""man_made"":""pier""}"
"w1222684023","way","1222684023","1","2023-11-11T07:31:19Z","playable","terrain_shoreline","MultiPolygon","area","","man_made=breakwater","","","not_started","","","{""area"":""yes"",""man_made"":""breakwater"",""material"":""rock""}"
"w1222684024","way","1222684024","1","2023-11-11T07:31:19Z","playable","terrain_shoreline","MultiPolygon","area","","man_made=breakwater","","","not_started","","","{""area"":""yes"",""man_made"":""breakwater"",""material"":""rock""}"
"w1222684025","way","1222684025","1","2023-11-11T07:31:19Z","playable","terrain_shoreline","MultiPolygon","area","","man_made=breakwater","","","not_started","","","{""area"":""yes"",""man_made"":""breakwater"",""material"":""rock""}"
"w1222684026","way","1222684026","1","2023-11-11T07:31:19Z","playable","terrain_shoreline","MultiPolygon","area","","man_made=breakwater","","","not_started","","","{""area"":""yes"",""man_made"":""breakwater"",""material"":""rock""}"
"w1222684027","way","1222684027","1","2023-11-11T07:31:19Z","playable","terrain_shoreline","MultiPolygon","area","","man_made=breakwater","","","not_started","","","{""area"":""yes"",""man_made"":""breakwater"",""material"":""rock""}"
"w1222685424","way","1222685424","3","2026-06-14T21:05:10Z","playable","terrain_shoreline","MultiPolygon","area","","man_made=breakwater","","","not_started","","","{""area"":""yes"",""man_made"":""breakwater"",""material"":""rock""}"
"w1473022589","way","1473022589","1","2026-01-31T18:57:13Z","playable","terrain_shoreline","LineString|MultiPolygon","area","","natural=wetland","","","not_started","","","{""natural"":""wetland"",""wetland"":""marsh""}"
"w8916045","way","8916045","5","2026-01-31T18:57:13Z","playable","roads_paths","LineString","line","Hutchins Court","highway=residential","","","not_started","","","{""highway"":""residential"",""name"":""Hutchins Court"",""tiger:cfcc"":""A41"",""tiger:county"":""San Francisco, CA"",""tiger:name_base"":""Hutchins"",""tiger:name_type"":""Ct"",""tiger:reviewed"":""no""}"
"w8916310","way","8916310","5","2026-02-01T00:54:18Z","playable","roads_paths","LineString","line","6th Street","highway=residential","","","not_started","","","{""highway"":""residential"",""name"":""6th Street"",""tiger:cfcc"":""A41"",""tiger:county"":""San Francisco, CA"",""tiger:name_base"":""6th"",""tiger:name_type"":""St""}"
"w8916349","way","8916349","9","2026-01-31T18:57:13Z","playable","roads_paths","LineString","line","Halibut Court","highway=residential","","","not_started","","","{""highway"":""residential"",""name"":""Halibut Court"",""tiger:cfcc"":""A41"",""tiger:county"":""San Francisco, CA"",""tiger:name_base"":""Halibut"",""tiger:name_type"":""Ct""}"
"w8916716","way","8916716","4","2017-06-07T06:34:42Z","playable","roads_paths","LineString","line","Gateview Court","highway=residential","","","not_started","","","{""highway"":""residential"",""name"":""Gateview Court"",""tiger:cfcc"":""A41"",""tiger:county"":""San Francisco, CA"",""tiger:name_base"":""Gateview"",""tiger:name_type"":""Ct"",""tiger:reviewed"":""no""}"
"w8916719","way","8916719","3","2011-04-17T20:52:55Z","playable","roads_paths","LineString","line","Gateview Court","highway=residential","","","not_started","","","{""highway"":""residential"",""name"":""Gateview Court"",""tiger:cfcc"":""A41"",""tiger:county"":""San Francisco, CA"",""tiger:name_base"":""Gateview"",""tiger:name_type"":""Ct"",""tiger:reviewed"":""no"",""tiger:separated"":""no"",""tiger:source"":""tiger_import_dch_v0.6_20070809"",""tiger:tlid"":""192294974""}"
"w8916722","way","8916722","4","2026-01-31T18:57:13Z","playable","roads_paths","LineString","line","Gateview Court","highway=residential","","","not_started","","","{""highway"":""residential"",""name"":""Gateview Court"",""tiger:cfcc"":""A41"",""tiger:county"":""San Francisco, CA"",""tiger:name_base"":""Gateview"",""tiger:name_type"":""Ct"",""tiger:reviewed"":""no""}"
"w8916727","way","8916727","5","2020-06-13T19:53:07Z","playable","roads_paths","LineString","line","Ozbourn Court","highway=residential","","","not_started","","","{""highway"":""residential"",""name"":""Ozbourn Court"",""tiger:cfcc"":""A41"",""tiger:county"":""San Francisco, CA"",""tiger:name_base"":""Ozbourn"",""tiger:name_type"":""Ct"",""tiger:reviewed"":""no""}"
"w8916874","way","8916874","9","2022-09-30T23:50:15Z","playable","roads_paths","LineString","line","Flounder Court","highway=residential","","","not_started","","","{""highway"":""residential"",""name"":""Flounder Court"",""tiger:cfcc"":""A41"",""tiger:county"":""San Francisco, CA"",""tiger:name_base"":""Flounder"",""tiger:name_type"":""Ct""}"
"w8917169","way","8917169","11","2022-07-14T20:37:22Z","playable","roads_paths","LineString","line","Bayside Drive","highway=residential","","","not_started","","","{""highway"":""residential"",""maxspeed"":""15 mph"",""name"":""Bayside Drive"",""tiger:cfcc"":""A41"",""tiger:county"":""San Francisco, CA"",""tiger:name_base"":""Bayside"",""tiger:name_type"":""Dr"",""tiger:reviewed"":""no""}"
"w8917439","way","8917439","6","2017-06-07T06:34:43Z","playable","roads_paths","LineString","line","Striped Bass Street","highway=residential","","","not_started","","","{""highway"":""residential"",""name"":""Striped Bass Street"",""tiger:cfcc"":""A41"",""tiger:county"":""San Francisco, CA"",""tiger:name_base"":""Striped Bass"",""tiger:name_type"":""St""}"
"w8917767","way","8917767","7","2017-06-07T06:34:43Z","playable","roads_paths","LineString","line","Exposition Drive","highway=residential","","","not_started","","","{""highway"":""residential"",""name"":""Exposition Drive"",""tiger:cfcc"":""A41"",""tiger:county"":""San Francisco, CA"",""tiger:name_base"":""Exposition"",""tiger:name_type"":""Dr"",""tiger:reviewed"":""no""}"
"w8917790","way","8917790","8","2026-01-31T18:57:13Z","playable","roads_paths","LineString","line","11th Street","highway=residential","","","not_started","","","{""highway"":""residential"",""name"":""11th Street"",""tiger:cfcc"":""A41"",""tiger:county"":""San Francisco, CA"",""tiger:name_base"":""11th"",""tiger:name_type"":""St""}"
"w8917792","way","8917792","12","2026-02-01T00:54:18Z","playable","roads_paths","LineString","line","5th Street","highway=residential","","","not_started","","","{""access"":""private"",""highway"":""residential"",""name"":""5th Street"",""tiger:cfcc"":""A41"",""tiger:county"":""San Francisco, CA"",""tiger:name_base"":""5th"",""tiger:name_type"":""St""}"
"w8918733","way","8918733","10","2024-08-15T16:08:02Z","playable","roads_paths","LineString","line","Sturgeon Street","highway=residential","","","not_started","","","{""highway"":""residential"",""name"":""Sturgeon Street"",""tiger:cfcc"":""A41"",""tiger:county"":""San Francisco, CA"",""tiger:name_base"":""Sturgeon"",""tiger:name_type"":""St""}"
"w8919063","way","8919063","9","2017-06-07T06:34:44Z","playable","roads_paths","LineString","line","Mariner Drive","highway=residential","","","not_started","","","{""highway"":""residential"",""name"":""Mariner Drive"",""tiger:cfcc"":""A41"",""tiger:county"":""San Francisco, CA"",""tiger:name_base"":""Mariner"",""tiger:name_type"":""Dr"",""tiger:reviewed"":""no""}"
"w8919233","way","8919233","8","2026-01-31T18:57:13Z","playable","roads_paths","LineString","line","13th Street","highway=residential","","","not_started","","","{""access"":""no"",""highway"":""residential"",""name"":""13th Street"",""tiger:cfcc"":""A41"",""tiger:county"":""San Francisco, CA"",""tiger:name_base"":""13th;Halyburton"",""tiger:name_type"":""St;Ct"",""tiger:reviewed"":""no""}"
"w8919277","way","8919277","12","2022-02-01T05:40:44Z","playable","roads_paths","LineString","line","9th Street","highway=tertiary","","","not_started","","","{""cycleway"":""lane"",""highway"":""tertiary"",""name"":""9th Street"",""surface"":""asphalt"",""tiger:cfcc"":""A41"",""tiger:county"":""San Francisco, CA"",""tiger:name_base"":""9th"",""tiger:name_type"":""St""}"
"w8919778","way","8919778","6","2026-01-31T18:57:13Z","playable","roads_paths","LineString","line","Lester Court","highway=residential","","","not_started","","","{""access"":""private"",""highway"":""residential"",""name"":""Lester Court"",""tiger:cfcc"":""A41"",""tiger:county"":""San Francisco, CA"",""tiger:name_base"":""Lester"",""tiger:name_type"":""Ct"",""tiger:reviewed"":""no""}"
"w8919923","way","8919923","4","2017-06-07T06:34:44Z","playable","roads_paths","LineString","line","Reeves Court","highway=residential","","","not_started","","","{""highway"":""residential"",""name"":""Reeves Court"",""tiger:cfcc"":""A41"",""tiger:county"":""San Francisco, CA"",""tiger:name_base"":""Reeves"",""tiger:name_type"":""Ct"",""tiger:reviewed"":""no""}"
"w8920145","way","8920145","10","2026-02-01T00:54:18Z","playable","roads_paths","LineString","line","4th Street","highway=residential","","","not_started","","","{""highway"":""residential"",""name"":""4th Street"",""tiger:cfcc"":""A41"",""tiger:county"":""San Francisco, CA"",""tiger:name_base"":""4th"",""tiger:name_type"":""St""}"
"w8920409","way","8920409","13","2026-01-31T18:57:13Z","playable","roads_paths","LineString","line","Westside Drive","highway=track","","","not_started","","","{""foot"":""yes"",""highway"":""track"",""lit"":""no"",""motor_vehicle"":""no"",""name"":""Westside Drive"",""surface"":""dirt"",""tiger:cfcc"":""A41"",""tiger:county"":""San Francisco, CA"",""tiger:name_base"":""Westside"",""tiger:name_type"":""Dr""}"
"w8920838","way","8920838","17","2026-05-21T19:59:15Z","playable","roads_paths","LineString","line","Northpoint Drive","highway=residential","","","not_started","","","{""highway"":""residential"",""maxspeed"":""15 mph"",""name"":""Northpoint Drive"",""tiger:cfcc"":""A41"",""tiger:county"":""San Francisco, CA"",""tiger:name_base"":""North Point"",""tiger:name_type"":""Dr"",""tiger:reviewed"":""no""}"
"w8921121","way","8921121","8","2022-09-30T23:50:15Z","playable","roads_paths","LineString","line","12th Street","highway=residential","","","not_started","","","{""highway"":""residential"",""name"":""12th Street"",""tiger:cfcc"":""A41"",""tiger:county"":""San Francisco, CA"",""tiger:name_base"":""12th"",""tiger:name_type"":""St""}"
"w8921138","way","8921138","5","2014-12-29T14:40:59Z","playable","roads_paths","LineString","line","8th Street","highway=residential","","","not_started","","","{""highway"":""residential"",""name"":""8th Street"",""tiger:cfcc"":""A41"",""tiger:county"":""San Francisco, CA"",""tiger:name_base"":""8th"",""tiger:name_type"":""St""}"
"w8921139","way","8921139","4","2014-12-29T14:41:00Z","playable","roads_paths","LineString","line","8th Street","highway=residential","","","not_started","","","{""highway"":""residential"",""name"":""8th Street"",""tiger:cfcc"":""A41"",""tiger:county"":""San Francisco, CA"",""tiger:name_base"":""8th"",""tiger:name_type"":""St""}"
"w8921273","way","8921273","20","2025-06-09T21:50:55Z","playable","roads_paths","LineString","line","Avenue B","highway=tertiary","","","not_started","","","{""highway"":""tertiary"",""lanes"":""2"",""name"":""Avenue B"",""surface"":""asphalt"",""tiger:cfcc"":""A41"",""tiger:county"":""San Francisco, CA"",""tiger:name_base"":""Avenue B""}"
"w8921288","way","8921288","11","2026-02-01T00:54:18Z","playable","roads_paths","LineString","line","Avenue D","highway=residential","","","not_started","","","{""access"":""private"",""highway"":""residential"",""name"":""Avenue D"",""surface"":""asphalt"",""tiger:cfcc"":""A41"",""tiger:county"":""San Francisco, CA"",""tiger:name_base"":""Avenue D""}"
"w8921299","way","8921299","12","2026-01-31T18:57:13Z","playable","roads_paths","LineString","line","","highway=service","","","not_started","","","{""access"":""private"",""highway"":""service"",""tiger:cfcc"":""A41"",""tiger:county"":""San Francisco, CA"",""tiger:name_base"":""Avenue E""}"
"w8921331","way","8921331","16","2019-04-04T17:50:20Z","playable","roads_paths","LineString","line","Avenue H","highway=tertiary","","","not_started","","","{""highway"":""tertiary"",""name"":""Avenue H"",""tiger:cfcc"":""A41"",""tiger:county"":""San Francisco, CA"",""tiger:name_base"":""Avenue H""}"
"w8921338","way","8921338","8","2026-01-31T18:57:13Z","playable","roads_paths","LineString","line","Avenue I","highway=residential","","","not_started","","","{""highway"":""residential"",""name"":""Avenue I"",""tiger:cfcc"":""A41"",""tiger:county"":""San Francisco, CA"",""tiger:name_base"":""Avenue I""}"
"w8921339","way","8921339","6","2022-09-28T04:35:17Z","playable","roads_paths","LineString","line","Avenue I","highway=residential","","","not_started","","","{""highway"":""residential"",""name"":""Avenue I"",""tiger:cfcc"":""A41"",""tiger:county"":""San Francisco, CA"",""tiger:name_base"":""Avenue I""}"
"w8921372","way","8921372","19","2024-02-20T05:25:18Z","playable","roads_paths","LineString","line","Avenue M","highway=residential","","","not_started","","","{""highway"":""residential"",""name"":""Avenue M"",""tiger:cfcc"":""A41"",""tiger:county"":""San Francisco, CA"",""tiger:name_base"":""Avenue M""}"
"w8921530","way","8921530","15","2024-02-20T05:32:37Z","playable","roads_paths","LineString","line","Avenue N","highway=residential","","","not_started","","","{""highway"":""residential"",""name"":""Avenue N"",""surface"":""asphalt"",""tiger:cfcc"":""A41"",""tiger:county"":""San Francisco, CA"",""tiger:name_base"":""Avenue N""}"
"w8921589","way","8921589","4","2024-08-29T22:55:32Z","playable","roads_paths","LineString","line","Mason Court","highway=residential","","","not_started","","","{""highway"":""residential"",""name"":""Mason Court"",""tiger:cfcc"":""A41"",""tiger:county"":""San Francisco, CA"",""tiger:name_base"":""Mason"",""tiger:name_type"":""Ct"",""tiger:reviewed"":""no""}"
"w8922388","way","8922388","26","2022-09-28T04:35:17Z","playable","roads_paths","LineString","line","Gateview Avenue","highway=residential","","","not_started","","","{""highway"":""residential"",""name"":""Gateview Avenue"",""surface"":""asphalt"",""tiger:cfcc"":""A41"",""tiger:county"":""San Francisco, CA"",""tiger:name_base"":""Gateview"",""tiger:name_type"":""Ave""}"
"w11315153","way","11315153","2","2010-03-27T20:19:27Z","playable","roads_paths","LineString","line","3rd Street","highway=residential","","","not_started","","","{""created_by"":""JOSM"",""highway"":""residential"",""name"":""3rd Street"",""tiger:cfcc"":""A41"",""tiger:county"":""San Francisco, CA"",""tiger:name_base"":""3rd"",""tiger:name_type"":""St"",""tiger:reviewed"":""no"",""tiger:separated"":""no"",""tiger:source"":""tiger_import_dch_v0.6_20070809"",""tiger:tlid"":""192294700:192294692:192294695:192294699""}"
"w11315404","way","11315404","6","2017-06-07T06:34:46Z","playable","roads_paths","LineString","line","Croaker Court","highway=residential","","","not_started","","","{""highway"":""residential"",""name"":""Croaker Court"",""tiger:cfcc"":""A41"",""tiger:county"":""San Francisco, CA"",""tiger:name_base"":""Croaker"",""tiger:name_type"":""Ct""}"
"w11315406","way","11315406","8","2020-12-23T05:33:02Z","playable","roads_paths","LineString","line","Chinook Court","highway=residential","","","not_started","","","{""highway"":""residential"",""name"":""Chinook Court"",""tiger:cfcc"":""A41"",""tiger:county"":""San Francisco, CA"",""tiger:name_base"":""Chinook"",""tiger:name_type"":""Ct""}"
"w11315798","way","11315798","4","2026-01-31T18:57:13Z","playable","roads_paths","LineString","line","","highway=path","","","not_started","","","{""highway"":""path""}"
"w11315799","way","11315799","5","2026-01-31T18:57:13Z","playable","roads_paths","LineString","line","Keppler Court","highway=residential","","","not_started","","","{""highway"":""residential"",""name"":""Keppler Court"",""tiger:cfcc"":""A41"",""tiger:county"":""San Francisco, CA"",""tiger:name_base"":""Keppler"",""tiger:name_type"":""Ct"",""tiger:reviewed"":""no""}"
"w11315800","way","11315800","10","2026-04-02T01:25:36Z","playable","roads_paths","LineString","line","13th Street","highway=residential","","","not_started","","","{""highway"":""residential"",""name"":""13th Street"",""tiger:cfcc"":""A41"",""tiger:county"":""San Francisco, CA"",""tiger:name_base"":""13th"",""tiger:name_type"":""St""}"
"w11315848","way","11315848","5","2021-06-03T05:53:29Z","playable","roads_paths","LineString","line","14th Street","highway=residential","","","not_started","","","{""highway"":""residential"",""name"":""14th Street""}"
"w11315850","way","11315850","9","2026-01-31T18:57:13Z","playable","roads_paths","LineString","line","Avenue I","highway=residential","","","not_started","","","{""highway"":""residential"",""name"":""Avenue I"",""surface"":""asphalt""}"
"w28353118","way","28353118","24","2025-03-23T16:25:59Z","playable","roads_paths","LineString","line","Treasure Island Road","highway=tertiary","","","not_started","","","{""bus:lanes:backward"":""yes|yes|designated"",""cycleway:left"":""no"",""cycleway:right"":""lane"",""highway"":""tertiary"",""lanes"":""4"",""lanes:backward"":""3"",""lanes:forward"":""1"",""motor_vehicle:lanes:backward"":""yes|yes|no"",""name"":""Treasure Island Road"",""placement:backward"":""middle_of:1"",""tiger:cfcc"":""A41"",""tiger:county"":""San Francisco, CA"",""tiger:name_base"":""Avenue of the Palms""}"
"w28353157","way","28353157","5","2023-11-10T14:42:09Z","playable","roads_paths","LineString","line","","highway=footway","","","not_started","","","{""access"":""private"",""bridge"":""yes"",""highway"":""footway"",""layer"":""1""}"
"w28353163","way","28353163","4","2023-11-10T14:42:09Z","playable","roads_paths","LineString","line","","highway=footway","","","not_started","","","{""access"":""private"",""bridge"":""yes"",""highway"":""footway"",""layer"":""1""}"
"w28353434","way","28353434","13","2022-10-18T01:03:28Z","playable","roads_paths","LineString","line","Avenue B","highway=residential","","","not_started","","","{""highway"":""residential"",""maxspeed"":""10 mph"",""name"":""Avenue B"",""oneway"":""no""}"
"w28356848","way","28356848","11","2022-09-28T04:35:17Z","playable","roads_paths","LineString","line","Avenue A","highway=service","","","not_started","","","{""highway"":""service"",""name"":""Avenue A"",""oneway"":""no""}"
"w28356864","way","28356864","3","2024-02-20T05:25:18Z","playable","roads_paths","LineString","line","","highway=service","","","not_started","","","{""highway"":""service"",""service"":""parking_aisle""}"
"w28356898","way","28356898","6","2026-02-01T00:54:18Z","playable","roads_paths","LineString","line","","highway=service","","","not_started","","","{""access"":""private"",""highway"":""service"",""service"":""parking_aisle""}"
"w28356904","way","28356904","2","2026-02-01T00:54:18Z","playable","roads_paths","LineString","line","","highway=service","","","not_started","","","{""access"":""private"",""highway"":""service"",""service"":""parking_aisle""}"
"w43102143","way","43102143","2","2011-01-25T02:45:01Z","playable","roads_paths","LineString","line","","highway=service","","","not_started","","","{""highway"":""service"",""oneway"":""yes"",""service"":""parking_aisle""}"
"w43102144","way","43102144","2","2011-01-25T02:44:56Z","playable","roads_paths","LineString","line","","highway=service","","","not_started","","","{""highway"":""service"",""oneway"":""yes"",""service"":""parking_aisle""}"
"w43102145","way","43102145","4","2022-06-10T05:45:47Z","playable","roads_paths","LineString","line","","highway=service","","","not_started","","","{""highway"":""service"",""oneway"":""yes"",""service"":""parking_aisle""}"
"w52721873","way","52721873","17","2024-02-20T05:32:37Z","playable","roads_paths","LineString","line","4th Street","highway=residential","","","not_started","","","{""access"":""private"",""highway"":""residential"",""maxspeed"":""10 mph"",""name"":""4th Street"",""tiger:cfcc"":""A41"",""tiger:county"":""San Francisco, CA"",""tiger:name_base"":""4th"",""tiger:name_type"":""St""}"
"w52721875","way","52721875","12","2025-06-09T21:50:52Z","playable","roads_paths","LineString","line","Gateview Avenue","highway=tertiary","","","not_started","","","{""highway"":""tertiary"",""maxspeed"":""15 mph"",""name"":""Gateview Avenue"",""surface"":""asphalt"",""tiger:cfcc"":""A41"",""tiger:county"":""San Francisco, CA"",""tiger:name_base"":""Gateview"",""tiger:name_type"":""Ave""}"
"w95934094","way","95934094","1","2011-01-20T12:23:45Z","playable","roads_paths","LineString","line","","highway=footway","","","not_started","","","{""highway"":""footway""}"
"w95934111","way","95934111","2","2022-09-28T04:35:17Z","playable","roads_paths","LineString","line","","highway=footway","","","not_started","","","{""highway"":""footway""}"
"w108982423","way","108982423","3","2026-01-31T18:57:13Z","playable","roads_paths","LineString","line","Westside Drive","highway=residential","","","not_started","","","{""access"":""private"",""highway"":""residential"",""name"":""Westside Drive"",""tiger:cfcc"":""A41"",""tiger:county"":""San Francisco, CA"",""tiger:name_base"":""Westside"",""tiger:name_type"":""Dr""}"
"w109022534","way","109022534","2","2026-02-01T00:54:18Z","playable","roads_paths","LineString","line","","highway=service","","","not_started","","","{""highway"":""service""}"
"w109022546","way","109022546","2","2026-01-31T18:57:13Z","playable","roads_paths","LineString","line","","highway=service","","","not_started","","","{""access"":""private"",""highway"":""service""}"
"w109023441","way","109023441","11","2026-06-18T14:15:13Z","playable","roads_paths","LineString","line","Perimeter Path","highway=footway","","","not_started","","","{""access"":""no"",""bicycle"":""yes"",""foot"":""yes"",""highway"":""footway"",""name"":""Perimeter Path"",""smoothness"":""good"",""surface"":""asphalt""}"
"w110188515","way","110188515","2","2018-05-22T08:17:33Z","playable","roads_paths","LineString","line","8th Street","highway=service","","","not_started","","","{""highway"":""service"",""name"":""8th Street""}"
"w131820353","way","131820353","14","2025-03-23T16:25:59Z","playable","roads_paths","LineString","line","Clipper Cove Way","highway=unclassified","","","not_started","","","{""cycleway:left"":""lane"",""cycleway:right"":""no"",""highway"":""unclassified"",""name"":""Clipper Cove Way"",""oneway"":""no"",""surface"":""asphalt""}"
"w131937148","way","131937148","12","2026-03-09T04:23:14Z","playable","roads_paths","LineString","line","Avenue G","highway=service","","","not_started","","","{""foot"":""no"",""highway"":""service"",""maxspeed"":""25 mph"",""name"":""Avenue G"",""oneway"":""no""}"
"w198399306","way","198399306","3","2026-02-01T00:54:18Z","playable","roads_paths","LineString","line","","highway=service","","","not_started","","","{""access"":""private"",""highway"":""service"",""service"":""emergency_access""}"
"w215879079","way","215879079","1","2013-04-06T23:23:30Z","playable","roads_paths","LineString","line","","highway=service","","","not_started","","","{""highway"":""service""}"
"w215879087","way","215879087","6","2024-02-20T05:25:18Z","playable","roads_paths","LineString","line","4th Street","highway=residential","","","not_started","","","{""highway"":""residential"",""name"":""4th Street"",""surface"":""asphalt"",""tiger:cfcc"":""A41"",""tiger:county"":""San Francisco, CA"",""tiger:name_base"":""4th"",""tiger:name_type"":""St""}"
"w255330034","way","255330034","7","2025-03-21T01:31:33Z","playable","roads_paths","LineString","line","Avenue H","highway=tertiary","","","not_started","","","{""highway"":""tertiary"",""name"":""Avenue H"",""tiger:cfcc"":""A41"",""tiger:county"":""San Francisco, CA"",""tiger:name_base"":""Avenue H""}"
"w255330044","way","255330044","13","2024-02-13T05:43:58Z","playable","roads_paths","LineString","line","Trade Winds Avenue","highway=tertiary","","","not_started","","","{""cycleway:left"":""separate"",""cycleway:right"":""lane"",""highway"":""tertiary"",""lanes"":""2"",""maxspeed"":""25 mph"",""name"":""Trade Winds Avenue"",""tiger:cfcc"":""A41"",""tiger:county"":""San Francisco, CA"",""tiger:name_base"":""California"",""tiger:name_type"":""Ave""}"
"w255330071","way","255330071","3","2022-09-28T04:35:17Z","playable","roads_paths","LineString","line","9th Street","highway=residential","","","not_started","","","{""highway"":""residential"",""name"":""9th Street"",""tiger:cfcc"":""A41"",""tiger:county"":""San Francisco, CA"",""tiger:name_base"":""9th"",""tiger:name_type"":""St""}"
